Event Name,Event Date,Result,Fighter1,Fighter2,KD,Strikes,TD,Sub,Weight Class,Method,Round,Time,rand,Fighter1_Fighter2
UFC Fight Night: Lewis vs. Hunt,10-Jun-17,Alexander Volkanovski,Alexander Volkanovski,Mizuto Hirota,Jan-00,87-46,Apr-00,0-0,Featherweight,U-DEC,3,5:00,0.553928689,Mizuto Hirota
UFC Fight Night: Lewis vs. Hunt,10-Jun-17,Vinc Pichel,Vinc Pichel,Damien Brown,Jan-00,19-21,0-0,0-0,Lightweight,KO/TKO-Punch,1,3:37,0.255434435,Vinc Pichel
UFC Fight Night: Lewis vs. Hunt,10-Jun-17,Luke Jumeau,Luke Jumeau,Dominique Steele,0-0,40-44,0-1,0-0,Welterweight,U-DEC,3,5:00,0.516395745,Dominique Steele
UFC Fight Night: Lewis vs. Hunt,10-Jun-17,John Moraga,John Moraga,Ashkan Mokhtarian,0-0,56-12,1-Feb,Apr-00,Flyweight,U-DEC,3,5:00,0.889222735,Ashkan Mokhtarian
UFC Fight Night: Lewis vs. Hunt,10-Jun-17,Zak Ottow,Zak Ottow,Kiichi Kunimoto,0-0,37-25,2-Feb,0-0,Welterweight,S-DEC,3,5:00,0.944617882,Kiichi Kunimoto
UFC Fight Night: Lewis vs. Hunt,10-Jun-17,JJ Aldrich,JJ Aldrich,Chan-Mi Jeon,0-0,98-92,0-0,0-0,Women's Strawweight,U-DEC,3,5:00,0.238277676,JJ Aldrich
UFC 212: Aldo vs. Holloway,3-Jun-17,Max Holloway,Max Holloway,Jose Aldo,Jan-00,104-55,0-0,0-0,Featherweight,KO/TKO-Punches,3,4:13,0.08265768,Max Holloway
UFC 212: Aldo vs. Holloway,3-Jun-17,Claudia Gadelha,Claudia Gadelha,Karolina Kowalkiewicz,0-0,9-Aug,Jan-00,Jan-00,Women's Strawweight,SUB-Rear-Naked-Choke,1,3:03,0.769828874,Karolina Kowalkiewicz
UFC 212: Aldo vs. Holloway,3-Jun-17,Vitor Belfort,Vitor Belfort,Nate Marquardt,0-0,37-57,0-1,0-0,Middleweight,U-DEC,3,5:00,0.478703321,Vitor Belfort
UFC 212: Aldo vs. Holloway,3-Jun-17,Paulo Costa,Paulo Costa,Oluwale Bamgbose,0-0,43-33,0-2,0-0,Middleweight,KO/TKO-Punches,2,1:06,0.013570764,Paulo Costa
UFC 212: Aldo vs. Holloway,3-Jun-17,Yancy Medeiros,Yancy Medeiros,Erick Silva,Jan-00,33-29,0-0,0-0,Welterweight,KO/TKO-Punch,2,2:01,0.421053969,Yancy Medeiros
UFC 212: Aldo vs. Holloway,3-Jun-17,Raphael Assuncao,Raphael Assuncao,Marlon Moraes,0-0,43-44,0-0,0-0,Bantamweight,S-DEC,3,5:00,0.49008904,Raphael Assuncao
UFC 212: Aldo vs. Holloway,3-Jun-17,Antonio Carlos Junior,Antonio Carlos Junior,Eric Spicely,0-0,17-Dec,1-Jan,Feb-00,Middleweight,SUB-Rear-Naked-Choke,2,3:49,0.037218985,Antonio Carlos Junior
UFC 212: Aldo vs. Holloway,3-Jun-17,Matthew Lopez,Matthew Lopez,Johnny Eduardo,0-0,43-16,Jan-00,0-1,Bantamweight,KO/TKO-Punches,1,2:57,0.058495388,Matthew Lopez
UFC 212: Aldo vs. Holloway,3-Jun-17,Brian Kelleher,Brian Kelleher,Iuri Alcantara,0-0,12-Apr,0-1,Jan-00,Bantamweight,SUB-Guillotine-Choke,1,1:48,0.81336636,Iuri Alcantara
UFC 212: Aldo vs. Holloway,3-Jun-17,Viviane Pereira,Viviane Pereira,Jamie Moyle,0-0,80-80,0-0,0-0,Women's Strawweight,U-DEC,3,5:00,0.598776019,Jamie Moyle
UFC 212: Aldo vs. Holloway,3-Jun-17,Luan Chagas,Luan Chagas,Jim Wallhead,Jan-00,95-32,0-0,Jan-00,Welterweight,SUB-Rear-Naked-Choke,2,4:48,0.10015103,Luan Chagas
UFC 212: Aldo vs. Holloway,3-Jun-17,Deiveson Figueiredo,Deiveson Figueiredo,Marco Beltran,Jan-00,17-16,Feb-00,Apr-00,Flyweight,KO/TKO,2,5:00,0.783849297,Marco Beltran
UFC Fight Night: Gustafsson vs. Teixeira,28-May-17,Alexander Gustafsson,Alexander Gustafsson,Glover Teixeira,Feb-00,97-42,1-Jan,0-0,Light Heavyweight,KO/TKO-Punches,5,1:07,0.130962058,Alexander Gustafsson
UFC Fight Night: Gustafsson vs. Teixeira,28-May-17,Volkan Oezdemir,Volkan Oezdemir,Misha Cirkunov,Jan-00,9-May,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,0:28,0.675635799,Misha Cirkunov
UFC Fight Night: Gustafsson vs. Teixeira,28-May-17,Peter Sobotta,Peter Sobotta,Ben Saunders,Mar-00,46-19,0-0,0-0,Welterweight,KO/TKO-Knee,2,2:29,0.743003306,Ben Saunders
UFC Fight Night: Gustafsson vs. Teixeira,28-May-17,Omari Akhmedov,Omari Akhmedov,Abdul Razak Alhassan,0-0,52-43,Jun-00,0-0,Welterweight,S-DEC,3,5:00,0.289103403,Omari Akhmedov
UFC Fight Night: Gustafsson vs. Teixeira,28-May-17,Nordine Taleb,Nordine Taleb,Oliver Enkamp,0-0,57-34,1-Feb,0-0,Welterweight,U-DEC,3,5:00,0.823284069,Oliver Enkamp
UFC Fight Night: Gustafsson vs. Teixeira,28-May-17,Jack Hermansson,Jack Hermansson,Alex Nicholson,0-0,23-1,Jan-00,0-1,Middleweight,KO/TKO-Punches,1,2:00,0.944862434,Alex Nicholson
UFC Fight Night: Gustafsson vs. Teixeira,28-May-17,Pedro Munhoz,Pedro Munhoz,Damian Stasiak,0-0,65-44,2-Mar,Jan-00,Bantamweight,U-DEC,3,5:00,0.88935851,Damian Stasiak
UFC Fight Night: Gustafsson vs. Teixeira,28-May-17,Trevor Smith,Trevor Smith,Chris Camozzi,Jan-00,39-10,Apr-00,0-1,Middleweight,U-DEC,3,5:00,0.65511735,Chris Camozzi
UFC Fight Night: Gustafsson vs. Teixeira,28-May-17,Joaquim Silva,Joaquim Silva,Reza Madadi,0-0,40-26,0-5,Jan-00,Lightweight,S-DEC,3,5:00,0.166068688,Joaquim Silva
UFC Fight Night: Gustafsson vs. Teixeira,28-May-17,Bojan Velickovic,Bojan Velickovic,Nicholas Musoke,Jan-00,53-49,1-Jan,0-0,Welterweight,KO/TKO-Punch,3,4:37,0.76092063,Nicholas Musoke
UFC Fight Night: Gustafsson vs. Teixeira,28-May-17,Darren Till,Darren Till,Jessin Ayari,Jan-00,31-28,Feb-00,0-1,Welterweight,U-DEC,3,5:00,0.429955064,Darren Till
UFC Fight Night: Gustafsson vs. Teixeira,28-May-17,Damir Hadzovic,Damir Hadzovic,Marcin Held,Jan-00,14-31,0-4,0-1,Lightweight,KO/TKO-Knee,3,0:07,0.129872112,Damir Hadzovic
UFC 211: Miocic vs. Dos Santos,13-May-17,Stipe Miocic,Stipe Miocic,Junior Dos Santos,Jan-00,26-12,0-0,0-0,Heavyweight,KO/TKO-Punch,1,2:22,0.867633366,Junior Dos Santos
UFC 211: Miocic vs. Dos Santos,13-May-17,Joanna Jedrzejczyk,Joanna Jedrzejczyk,Jessica Andrade,0-0,225-83,0-2,0-0,Women's Strawweight,U-DEC,5,5:00,0.676750034,Jessica Andrade
UFC 211: Miocic vs. Dos Santos,13-May-17,Demian Maia,Demian Maia,Jorge Masvidal,0-0,23-39,Apr-00,0-0,Welterweight,S-DEC,3,5:00,0.389370238,Demian Maia
UFC 211: Miocic vs. Dos Santos,13-May-17,Frankie Edgar,Frankie Edgar,Yair Rodriguez,0-0,72-16,Jan-00,0-1,Featherweight,KO/TKO,2,5:00,0.266634341,Frankie Edgar
UFC 211: Miocic vs. Dos Santos,13-May-17,David Branch,David Branch,Krzysztof Jotko,0-0,39-28,1-Feb,0-0,Middleweight,S-DEC,3,5:00,0.078654488,David Branch
UFC 211: Miocic vs. Dos Santos,13-May-17,Unknown,Eddie Alvarez,Dustin Poirier,0-0,44-73,Jan-00,0-2,Lightweight,CNC,2,4:02,0.200448036,Eddie Alvarez
UFC 211: Miocic vs. Dos Santos,13-May-17,Jason Knight,Jason Knight,Chas Skelly,Jan-00,59-29,1-Feb,Mar-00,Featherweight,KO/TKO-Punch,3,0:39,0.071017696,Jason Knight
UFC 211: Miocic vs. Dos Santos,13-May-17,Chase Sherman,Chase Sherman,Rashad Coulter,Jan-00,103-36,0-0,0-0,Heavyweight,KO/TKO-Elbow,2,3:36,0.122258135,Chase Sherman
UFC 211: Miocic vs. Dos Santos,13-May-17,James Vick,James Vick,Marco Polo Reyes,Jan-00,20-16,0-0,0-0,Lightweight,KO/TKO-Punch,1,2:39,0.827870768,Marco Polo Reyes
UFC 211: Miocic vs. Dos Santos,13-May-17,Cortney Casey,Cortney Casey,Jessica Aguilar,0-0,103-57,0-4,0-0,Women's Strawweight,U-DEC,3,5:00,0.850748831,Jessica Aguilar
UFC 211: Miocic vs. Dos Santos,13-May-17,Enrique Barzola,Enrique Barzola,Gabriel Benitez,0-0,46-51,Sep-00,Jan-00,Featherweight,U-DEC,3,5:00,0.169645492,Enrique Barzola
UFC 211: Miocic vs. Dos Santos,13-May-17,Gadzhimurad Antigulov,Gadzhimurad Antigulov,Joachim Christensen,0-0,1-Feb,Jan-00,Jan-00,Light Heavyweight,SUB-Rear-Naked-Choke,1,2:21,0.39584782,Gadzhimurad Antigulov
UFC Fight Night: Swanson vs. Lobov,22-Apr-17,Cub Swanson,Cub Swanson,Artem Lobov,0-0,209-123,2-Feb,0-0,Featherweight,U-DEC,5,5:00,0.109491841,Cub Swanson
UFC Fight Night: Swanson vs. Lobov,22-Apr-17,Al Iaquinta,Al Iaquinta,Diego Sanchez,Feb-00,4-Dec,0-0,0-0,Lightweight,KO/TKO-Punch,1,1:38,0.984871082,Diego Sanchez
UFC Fight Night: Swanson vs. Lobov,22-Apr-17,Ovince Saint Preux,Ovince Saint Preux,Marcos Rogerio de Lima,0-0,21-17,Jan-00,Jan-00,Light Heavyweight,SUB-Von-Flue-Choke,2,2:11,0.385988477,Ovince Saint Preux
UFC Fight Night: Swanson vs. Lobov,22-Apr-17,John Dodson,John Dodson,Eddie Wineland,0-0,48-21,0-0,0-0,Bantamweight,U-DEC,3,5:00,0.414695874,John Dodson
UFC Fight Night: Swanson vs. Lobov,22-Apr-17,Stevie Ray,Stevie Ray,Joe Lauzon,0-0,109-46,0-5,1-Jan,Lightweight,M-DEC,3,5:00,0.658678201,Joe Lauzon
UFC Fight Night: Swanson vs. Lobov,22-Apr-17,Mike Perry,Mike Perry,Jake Ellenberger,Feb-00,26-17,0-1,0-0,Welterweight,KO/TKO-Elbow,2,1:05,0.156188948,Mike Perry
UFC Fight Night: Swanson vs. Lobov,22-Apr-17,Thales Leites,Thales Leites,Sam Alvey,0-0,38-27,Jan-00,0-0,Middleweight,U-DEC,3,5:00,0.818855554,Sam Alvey
UFC Fight Night: Swanson vs. Lobov,22-Apr-17,Brandon Moreno,Brandon Moreno,Dustin Ortiz,Jan-00,24-16,0-4,Feb-00,Flyweight,SUB-Rear-Naked-Choke,2,4:06,0.095690665,Brandon Moreno
UFC Fight Night: Swanson vs. Lobov,22-Apr-17,Scott Holtzman,Scott Holtzman,Michael McBride,Jan-00,104-83,3-Feb,0-2,Lightweight,U-DEC,3,5:00,0.722792008,Michael McBride
UFC Fight Night: Swanson vs. Lobov,22-Apr-17,Danielle Taylor,Danielle Taylor,Jessica Penne,0-0,72-69,0-1,0-0,Women's Strawweight,U-DEC,3,5:00,0.512030908,Jessica Penne
UFC Fight Night: Swanson vs. Lobov,22-Apr-17,Alexis Davis,Alexis Davis,Cindy Dandois,0-0,51-47,0-5,Feb-00,Women's Bantamweight,U-DEC,3,5:00,0.407647972,Alexis Davis
UFC Fight Night: Swanson vs. Lobov,22-Apr-17,Bryan Barberena,Bryan Barberena,Joe Proctor,Jan-00,28-8,0-0,0-0,Welterweight,KO/TKO-Punch,1,3:30,0.801552318,Joe Proctor
UFC Fight Night: Swanson vs. Lobov,22-Apr-17,Hector Sandoval,Hector Sandoval,Matt Schnell,0-0,32-16,1-Mar,0-1,Flyweight,KO/TKO-Punch,1,4:24,0.45197102,Hector Sandoval
UFC on FOX: Johnson vs. Reis,15-Apr-17,Demetrious Johnson,Demetrious Johnson,Wilson Reis,0-0,108-16,Jan-00,Jan-00,Flyweight,SUB-Armbar,3,4:49,0.133274143,Demetrious Johnson
UFC on FOX: Johnson vs. Reis,15-Apr-17,Rose Namajunas,Rose Namajunas,Michelle Waterson-Gomez,Jan-00,47-22,1-Jan,Jan-00,Women's Strawweight,SUB-Rear-Naked-Choke,2,2:47,0.382918979,Rose Namajunas
UFC on FOX: Johnson vs. Reis,15-Apr-17,Robert Whittaker,Robert Whittaker,Jacare Souza,Jan-00,55-9,0-1,0-0,Middleweight,KO/TKO-Kick,2,3:28,0.120074508,Robert Whittaker
UFC on FOX: Johnson vs. Reis,15-Apr-17,Renato Moicano,Renato Moicano,Jeremy Stephens,0-0,70-56,Feb-00,0-0,Featherweight,S-DEC,3,5:00,0.584907521,Jeremy Stephens
UFC on FOX: Johnson vs. Reis,15-Apr-17,Alexander Volkov,Alexander Volkov,Roy Nelson,0-0,122-32,0-1,0-0,Heavyweight,U-DEC,3,5:00,0.476695639,Alexander Volkov
UFC on FOX: Johnson vs. Reis,15-Apr-17,Tom Duquesnoy,Tom Duquesnoy,Patrick Williams,Feb-00,36-37,0-2,0-0,Bantamweight,KO/TKO-Elbows,2,0:28,0.914890413,Patrick Williams
UFC on FOX: Johnson vs. Reis,15-Apr-17,Rashid Magomedov,Rashid Magomedov,Bobby Green,0-0,75-75,0-0,0-0,Lightweight,S-DEC,3,5:00,0.209057823,Rashid Magomedov
UFC on FOX: Johnson vs. Reis,15-Apr-17,Tim Elliott,Tim Elliott,Louis Smolka,0-0,57-41,1-Dec,2-Jan,Flyweight,U-DEC,3,5:00,0.219568925,Tim Elliott
UFC on FOX: Johnson vs. Reis,15-Apr-17,Aljamain Sterling,Aljamain Sterling,Augusto Mendes,0-1,83-30,Feb-00,0-0,Bantamweight,U-DEC,3,5:00,0.494589982,Aljamain Sterling
UFC on FOX: Johnson vs. Reis,15-Apr-17,Devin Clark,Devin Clark,Jake Collier,0-0,68-36,Apr-00,0-1,Light Heavyweight,U-DEC,3,5:00,0.94935847,Jake Collier
UFC on FOX: Johnson vs. Reis,15-Apr-17,Anthony Smith,Anthony Smith,Andrew Sanchez,Jan-00,49-63,0-4,0-0,Middleweight,KO/TKO-Kick,3,3:52,0.420764991,Anthony Smith
UFC on FOX: Johnson vs. Reis,15-Apr-17,Zak Cummings,Zak Cummings,Nathan Coy,0-0,25-23,0-1,Feb-00,Welterweight,SUB-Guillotine-Choke,1,4:21,0.636124435,Nathan Coy
UFC on FOX: Johnson vs. Reis,15-Apr-17,Ketlen Vieira,Ketlen Vieira,Ashlee Evans-Smith,0-0,71-68,Jan-00,0-0,Women's Bantamweight,U-DEC,3,5:00,0.234917008,Ketlen Vieira
UFC 210: Cormier vs. Johnson 2,8-Apr-17,Daniel Cormier,Daniel Cormier,Anthony Johnson,0-0,36-22,1-Jan,Jan-00,Light Heavyweight,SUB-Rear-Naked-Choke,2,3:37,0.112156907,Daniel Cormier
UFC 210: Cormier vs. Johnson 2,8-Apr-17,Gegard Mousasi,Gegard Mousasi,Chris Weidman,0-0,49-13,0-4,0-1,Middleweight,KO/TKO-Knee,2,3:13,0.188626331,Gegard Mousasi
UFC 210: Cormier vs. Johnson 2,8-Apr-17,Cynthia Calvillo,Cynthia Calvillo,Pearl Gonzalez,0-0,50-37,2-Jan,1-Mar,Women's Strawweight,SUB-Rear-Naked-Choke,3,3:45,0.024663725,Cynthia Calvillo
UFC 210: Cormier vs. Johnson 2,8-Apr-17,Thiago Alves,Thiago Alves,Patrick Cote,Feb-00,79-44,Jan-00,0-0,Welterweight,U-DEC,3,5:00,0.583033623,Patrick Cote
UFC 210: Cormier vs. Johnson 2,8-Apr-17,Charles Oliveira,Charles Oliveira,Will Brooks,0-0,4-Mar,Feb-00,Jan-00,Lightweight,SUB-Rear-Naked-Choke,1,2:30,0.355753431,Charles Oliveira
UFC 210: Cormier vs. Johnson 2,8-Apr-17,Myles Jury,Myles Jury,Mike de la Torre,0-0,36-0,Jan-00,0-0,Featherweight,KO/TKO-Punches,1,3:30,0.841775177,Mike de la Torre
UFC 210: Cormier vs. Johnson 2,8-Apr-17,Kamaru Usman,Kamaru Usman,Sean Strickland,Jan-00,90-27,Feb-00,0-0,Welterweight,U-DEC,3,5:00,0.52963192,Sean Strickland
UFC 210: Cormier vs. Johnson 2,8-Apr-17,Shane Burgos,Shane Burgos,Charles Rosa,Jan-00,77-86,0-1,0-0,Featherweight,KO/TKO-Punch,3,1:59,0.310470479,Shane Burgos
UFC 210: Cormier vs. Johnson 2,8-Apr-17,Patrick Cummins,Patrick Cummins,Jan Blachowicz,0-1,73-53,1-Mar,0-0,Light Heavyweight,U-DEC,3,5:00,0.316258523,Patrick Cummins
UFC 210: Cormier vs. Johnson 2,8-Apr-17,Gregor Gillespie,Gregor Gillespie,Andrew Holbrook,Jan-00,4-Aug,0-0,0-0,Lightweight,KO/TKO-Punch,1,0:21,0.643646479,Andrew Holbrook
UFC 210: Cormier vs. Johnson 2,8-Apr-17,Desmond Green,Desmond Green,Josh Emmett,0-0,57-41,Jan-00,0-0,Lightweight,S-DEC,3,5:00,0.24996847,Desmond Green
UFC 210: Cormier vs. Johnson 2,8-Apr-17,Katlyn Chookagian,Katlyn Chookagian,Irene Aldana,0-0,105-84,0-0,0-0,Women's Bantamweight,S-DEC,3,5:00,0.335380213,Katlyn Chookagian
UFC 210: Cormier vs. Johnson 2,8-Apr-17,Bibulatov Magomed,Bibulatov Magomed,Jenel Lausa,0-0,51-10,Feb-00,0-0,Flyweight,U-DEC,3,5:00,0.436707781,Bibulatov Magomed
UFC Fight Night: Manuwa vs. Anderson,18-Mar-17,Jimi Manuwa,Jimi Manuwa,Corey Anderson,Jan-00,6-Jun,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,3:05,0.535951401,Corey Anderson
UFC Fight Night: Manuwa vs. Anderson,18-Mar-17,Gunnar Nelson,Gunnar Nelson,Alan Jouban,0-0,17-Aug,Jan-00,Jan-00,Welterweight,SUB-Guillotine-Choke,2,0:46,0.618125777,Alan Jouban
UFC Fight Night: Manuwa vs. Anderson,18-Mar-17,Marlon Vera,Marlon Vera,Brad Pickett,Jan-00,67-51,0-2,0-0,Catch Weight,KO/TKO-Kick,3,3:50,0.145740249,Marlon Vera
UFC Fight Night: Manuwa vs. Anderson,18-Mar-17,Arnold Allen,Arnold Allen,Makwan Amirkhani,0-0,32-17,4-Mar,3-Jan,Featherweight,S-DEC,3,5:00,0.480539795,Arnold Allen
UFC Fight Night: Manuwa vs. Anderson,18-Mar-17,Joe Duffy,Joe Duffy,Reza Madadi,0-0,51-28,0-2,0-0,Lightweight,U-DEC,3,5:00,0.553278464,Reza Madadi
UFC Fight Night: Manuwa vs. Anderson,18-Mar-17,Francimar Barroso,Francimar Barroso,Darren Stewart,0-0,28-31,1-Jul,0-0,Light Heavyweight,U-DEC,3,5:00,0.904557359,Darren Stewart
UFC Fight Night: Manuwa vs. Anderson,18-Mar-17,Timothy Johnson,Timothy Johnson,Daniel Omielanczuk,0-0,52-54,Jan-00,0-0,Heavyweight,S-DEC,3,5:00,0.417105673,Timothy Johnson
UFC Fight Night: Manuwa vs. Anderson,18-Mar-17,Leon Edwards,Leon Edwards,Vicente Luque,0-0,53-24,2-Mar,0-0,Welterweight,U-DEC,3,5:00,0.157268597,Leon Edwards
UFC Fight Night: Manuwa vs. Anderson,18-Mar-17,Marc Diakiese,Marc Diakiese,Teemu Packalen,Jan-00,1-Jun,0-0,0-0,Lightweight,KO/TKO-Punch,1,0:30,0.726376026,Teemu Packalen
UFC Fight Night: Manuwa vs. Anderson,18-Mar-17,Brad Scott,Brad Scott,Scott Askham,Jan-00,72-86,0-1,0-0,Middleweight,S-DEC,3,5:00,0.732158889,Scott Askham
UFC Fight Night: Manuwa vs. Anderson,18-Mar-17,Lina Lansberg,Lina Lansberg,Lucie Pudilova,0-0,80-99,Jan-00,0-0,Women's Bantamweight,U-DEC,3,5:00,0.271978365,Lina Lansberg
UFC Fight Night: Belfort vs. Gastelum,11-Mar-17,Unknown,Vitor Belfort,Kelvin Gastelum,0-2,26-Oct,0-0,0-0,Middleweight,Overturned-Punch,1,3:52,0.558855772,Kelvin Gastelum
UFC Fight Night: Belfort vs. Gastelum,11-Mar-17,Mauricio Rua,Mauricio Rua,Gian Villante,Feb-00,94-55,Feb-00,0-0,Light Heavyweight,KO/TKO-Punch,3,0:59,0.6475004,Gian Villante
UFC Fight Night: Belfort vs. Gastelum,11-Mar-17,Edson Barboza,Edson Barboza,Beneil Dariush,Jan-00,30-51,0-0,0-0,Lightweight,KO/TKO-Flying-Knee,2,3:35,0.889579112,Beneil Dariush
UFC Fight Night: Belfort vs. Gastelum,11-Mar-17,Ray Borg,Ray Borg,Jussier Formiga,0-0,36-30,0-0,0-0,Flyweight,U-DEC,3,5:00,0.304106912,Ray Borg
UFC Fight Night: Belfort vs. Gastelum,11-Mar-17,Draw,Bethe Correia,Marion Reneau,0-0,43-75,Feb-00,0-0,Women's Bantamweight,M-DEC,3,5:00,0.812109262,Marion Reneau
UFC Fight Night: Belfort vs. Gastelum,11-Mar-17,Alex Oliveira,Alex Oliveira,Tim Means,0-0,9-Dec,Jun-00,Jan-00,Welterweight,SUB-Rear-Naked-Choke,2,2:38,0.425618551,Alex Oliveira
UFC Fight Night: Belfort vs. Gastelum,11-Mar-17,Kevin Lee,Kevin Lee,Francisco Trinaldo,0-0,15-25,Jan-00,1-Jan,Lightweight,SUB-Rear-Naked-Choke,2,3:12,0.6482045,Francisco Trinaldo
UFC Fight Night: Belfort vs. Gastelum,11-Mar-17,Sergio Moraes,Sergio Moraes,Davi Ramos,0-0,39-35,0-0,0-0,Welterweight,U-DEC,3,5:00,0.391546312,Sergio Moraes
UFC Fight Night: Belfort vs. Gastelum,11-Mar-17,Joe Soto,Joe Soto,Rani Yahya,0-0,54-59,1-Jan,Feb-00,Bantamweight,U-DEC,3,5:00,0.068422143,Joe Soto
UFC Fight Night: Belfort vs. Gastelum,11-Mar-17,Michel Prazeres,Michel Prazeres,Joshua Burkman,0-0,24-1,Feb-00,Jan-00,Lightweight,SUB-North-South-Choke,1,1:42,0.487290818,Michel Prazeres
UFC Fight Night: Belfort vs. Gastelum,11-Mar-17,Jeremy Kennedy,Jeremy Kennedy,Rony Jason,0-1,46-18,Aug-00,0-0,Featherweight,U-DEC,3,5:00,0.660712653,Rony Jason
UFC Fight Night: Belfort vs. Gastelum,11-Mar-17,Paulo Costa,Paulo Costa,Garreth McLellan,Jan-00,22-6,0-0,0-0,Middleweight,KO/TKO-Punch,1,1:17,0.470194501,Paulo Costa
UFC 209: Woodley vs. Thompson 2,4-Mar-17,Tyron Woodley,Tyron Woodley,Stephen Thompson,Jan-00,54-53,Jan-00,0-0,Welterweight,M-DEC,5,5:00,0.546965678,Stephen Thompson
UFC 209: Woodley vs. Thompson 2,4-Mar-17,David Teymur,David Teymur,Lando Vannata,0-0,90-76,1-Feb,0-0,Lightweight,U-DEC,3,5:00,0.27506344,David Teymur
UFC 209: Woodley vs. Thompson 2,4-Mar-17,Daniel Kelly,Daniel Kelly,Rashad Evans,0-0,74-53,0-1,0-0,Middleweight,S-DEC,3,5:00,0.743054572,Rashad Evans
UFC 209: Woodley vs. Thompson 2,4-Mar-17,Cynthia Calvillo,Cynthia Calvillo,Amanda Cooper,0-0,13-7,Jan-00,Mar-00,Women's Strawweight,SUB-Rear-Naked-Choke,1,3:19,0.054930091,Cynthia Calvillo
UFC 209: Woodley vs. Thompson 2,4-Mar-17,Alistair Overeem,Alistair Overeem,Mark Hunt,Jan-00,55-21,0-0,0-0,Heavyweight,KO/TKO-Knees,3,1:44,0.633142599,Mark Hunt
UFC 209: Woodley vs. Thompson 2,4-Mar-17,Marcin Tybura,Marcin Tybura,Luis Henrique,0-0,50-14,3-Jan,0-1,Heavyweight,KO/TKO-Punches,3,3:46,0.468812534,Marcin Tybura
UFC 209: Woodley vs. Thompson 2,4-Mar-17,Darren Elkins,Darren Elkins,Mirsad Bektic,Jan-00,28-60,0-4,Jan-00,Featherweight,KO/TKO-Kick,3,3:19,0.012329314,Darren Elkins
UFC 209: Woodley vs. Thompson 2,4-Mar-17,Iuri Alcantara,Iuri Alcantara,Luke Sanders,0-0,23-94,1-Jan,Jan-00,Bantamweight,SUB-Kneebar,2,3:13,0.02796088,Iuri Alcantara
UFC 209: Woodley vs. Thompson 2,4-Mar-17,Mark Godbeer,Mark Godbeer,Daniel Spitz,0-0,92-51,0-1,0-0,Heavyweight,U-DEC,3,5:00,0.813690945,Daniel Spitz
UFC 209: Woodley vs. Thompson 2,4-Mar-17,Tyson Pedro,Tyson Pedro,Paul Craig,Jan-00,23-12,0-0,0-0,Light Heavyweight,KO/TKO-Elbows,1,4:10,0.542033264,Paul Craig
UFC 209: Woodley vs. Thompson 2,4-Mar-17,Albert Morales,Albert Morales,Andre Soukhamthath,0-0,56-46,Jan-00,0-0,Bantamweight,S-DEC,3,5:00,0.828803828,Andre Soukhamthath
UFC Fight Night: Lewis vs. Browne,19-Feb-17,Derrick Lewis,Derrick Lewis,Travis Browne,Jan-00,39-21,0-0,0-0,Heavyweight,KO/TKO-Punch,2,3:12,0.275566001,Derrick Lewis
UFC Fight Night: Lewis vs. Browne,19-Feb-17,Johny Hendricks,Johny Hendricks,Hector Lombard,0-0,51-37,0-2,0-0,Middleweight,U-DEC,3,5:00,0.422691936,Johny Hendricks
UFC Fight Night: Lewis vs. Browne,19-Feb-17,Gavin Tucker,Gavin Tucker,Sam Sicilia,0-0,55-10,Jan-00,0-0,Featherweight,U-DEC,3,5:00,0.333561182,Gavin Tucker
UFC Fight Night: Lewis vs. Browne,19-Feb-17,Elias Theodorou,Elias Theodorou,Cezar Ferreira,0-0,38-11,3-Jan,0-2,Middleweight,U-DEC,3,5:00,0.142187658,Elias Theodorou
UFC Fight Night: Lewis vs. Browne,19-Feb-17,Sara McMann,Sara McMann,Gina Mazany,0-0,Jul-00,Feb-00,Jan-00,Women's Bantamweight,SUB-Arm-Triangle,1,1:14,0.773656613,Gina Mazany
UFC Fight Night: Lewis vs. Browne,19-Feb-17,Paul Felder,Paul Felder,Alex Ricci,Jan-00,23-21,0-0,0-0,Lightweight,KO/TKO-Elbow,1,4:44,0.812901341,Alex Ricci
UFC Fight Night: Lewis vs. Browne,19-Feb-17,Santiago Ponzinibbio,Santiago Ponzinibbio,Nordine Taleb,Jan-00,53-48,0-0,0-0,Welterweight,U-DEC,3,5:00,0.966345091,Nordine Taleb
UFC Fight Night: Lewis vs. Browne,19-Feb-17,Randa Markos,Randa Markos,Carla Esparza,0-0,48-32,0-4,0-1,Women's Strawweight,S-DEC,3,5:00,0.411384241,Randa Markos
UFC Fight Night: Lewis vs. Browne,19-Feb-17,Aiemann Zahabi,Aiemann Zahabi,Reginaldo Vieira,Jan-00,44-64,0-2,0-0,Bantamweight,U-DEC,3,5:00,0.939457314,Reginaldo Vieira
UFC Fight Night: Lewis vs. Browne,19-Feb-17,Thiago Santos,Thiago Santos,Jack Marshman,1-Jan,27-6,Jan-00,0-0,Middleweight,KO/TKO-Kick,2,2:21,0.618606735,Jack Marshman
UFC Fight Night: Lewis vs. Browne,19-Feb-17,Gerald Meerschaert,Gerald Meerschaert,Ryan Janes,0-0,3-Mar,0-1,Jan-00,Middleweight,SUB-Armbar,1,1:34,0.346951899,Gerald Meerschaert
